DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,3100-00,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue,Operating Revenue,"-645,527","-781,132","-898,057","-864,917","-779,765","-771,735","-761,881","-729,095","-848,019","-818,699","-929,569","-875,563","-943,343","-931,619","-955,957","-130,387"
107,17,67,3100-05,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue,Operating Rev-Transmex Backout,,,,,,,,,,,,,175,,,
107,17,67,3103-00,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue,AR - Revenue Adjustments,8,0,,122,489,840,886,113,83,-8,70,56,2,,,
107,17,67,3115-00,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Load/Unload,-175,-35,"-3,745","-2,987","-3,920","-4,060","-3,545","-3,381","-3,663","-3,220","-4,025","-3,605","-3,535","-3,205","-4,200",-35
107,17,67,3115-01,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Operating Revenue-Singles,,,,-816,,-238,0,-255,-255,,,-260,-538,-520,0,
107,17,67,3116-00,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Tolls Accessorial Revenue,"-3,439","-12,837",-390,"-19,627","-10,158",-130,"-8,245","-9,209","-16,545","-10,815","-8,468","-8,325","-1,354","-9,816","-7,945","-7,205"
107,17,67,3120-00,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Stop-Offs,"-32,874","-49,701","-64,665","-58,641","-53,534","-55,017","-56,387","-56,572","-63,334","-61,837","-50,846","-36,089","-44,206","-38,116","-173,816","117,547"
107,17,67,3130-00,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Trailer Detention Revenue,,,,,,,,,,"-1,596",,"1,596",0,,,
107,17,67,3131-00,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Power Detention Revenue,,,-760,-495,-225,,,-120,,,,,-116,-75,,
107,17,67,3135-00,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue,Accessorial Revenue-Other,293,"-3,729","3,552",-246,"-5,420","4,860",444,90,86,-164,-152,"-2,794","2,304","-2,683",-841,"4,249"
