acct_nbr,acct_nm,level_1,level_2,level_3,level_4
3100-00,Operating Revenue.,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-01,Operating Revenue - Singles,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-02,Operating Revenue - Mentors,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-03,Operating Revenue - Teams,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-04,RBill - Linehaul,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-05,Transmex Backout,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-06,Intermodal Dray Trans Pricing,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3100-50,Operating Revenue In-Transit,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3103-00,Operating Revenue - Adjustments,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3103-01,Revenue Adjustments - Singles,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3103-02,Revenue Adjustments - Mentors,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3103-03,Revenue Adjustments - Teams,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3105-00,Logistics Operating Revenue,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3105-01,Logistics Fgt Brokerage Revenue,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3105-02,Logistics Managed Trans Revenue,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3105-03,Logistics Warehousing Revenue,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3105-04,Logistics LTL Revenue,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3105-05,Logistics Other Revenue,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3999-00,Mileage,Total Operating Revenue,Freight Revenue,Mileage Revenue,Mileage Revenue
3101-00,Freight Revenue - O/O,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3110-00,Accessorials,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3110-01,Accessorials - Singles,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3110-02,Accessorials- Mentors,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3110-03,Accessorials - Teams,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3110-05,Accessorials-Transmex Backout,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3113-00,Accessorials - Adjustments,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3115-00,Load/Unload,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3115-01,Lumpers,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3115-02,Operating Revenue-Mentors,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3116-00,Accessorials - Tolls,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3120-00,Stop-Offs,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3125-00,Tarping,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3130-00,Trailer Detention,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3130-01,Trailer Detention - Other,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3130-02,Chassis Detention,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3131-00,Power Detention Revenue,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-00,Other Accesorials,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-01,Other Accesorials - Singles,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-02,Other Accesorials - Mentors,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-03,Other Accesorials - Teams,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-04,#NAME?,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-05,Other Accessorials - BH Credits,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-06,Other Accessorials - TONU,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-07,Other Accesorials - Surge,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-08,Other Accesorials - Spotting,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-09,Other Accesorials - Deadhead,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-10,Other Accessorials - Ded General,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-11,Other Accessorials - WM Reef Mai,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-12,Other Accessorials - WM Short HL,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-13,Other Accessorials - Trl Washes,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-14,Other Accessorials - BH Revenue,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-15,Other Accessorials - LO Revenue,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-16,Other Accessorials - Mex FAK,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-17,Performance Failures,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3135-50,Accessorials In-Transit,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3201-00,Freight Revenue - Trip Lease,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3202-00,Freight Revenue - Trip Lease Brkg,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3301-00,Freight Revenue - Rail Moves,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3302-00,Freight Revenue - LTL,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
4990-00,Revenue GAB Allowance,Total Operating Revenue,Freight Revenue,Accessorial Revenue,Accessorial Revenue
3200-00,Fuel Surcharge,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-01,Fuel Surcharge - Singles,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-02,Fuel Surcharge - Mentors,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-03,Fuel Surcharge - Teams,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-04,Accessorials - Fuel Tax,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-05,#NAME?,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-06,FSC - Transmex Backout,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3200-50,Fuel Surcharge In-Transit,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3203-00,Fuel Surcharge - Adjustments,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
4989-00,FSC Revenue GAB Allowance,Total Operating Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue,Fuel Surcharge Revenue
3300-00,Lease Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3300-01,Lease Payment Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3300-02,Down Payment Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3300-03,Excess Mileage Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3400-00,Container Repositioning,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3401-00,Container Storage,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3402-00,Container Interchange,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3404-00,Pallets Revenue,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
3405-00,Drop Lot Services,Total Operating Revenue,Other Revenue,Non-Operating Revenue,Non-Operating Revenue
